appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
be-inherently	4th4	verbal noun	oleminen	oleminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
be-inherently	5th1	5th1	Possessive formsPersonsing.plur.1stolemaisillaniolemaisillamme2ndolemaisillasiolemaisillanne3rdolemaisillaanolemaisillansa	Possessive formsPersonsing.plur.1stolemaisillaniolemaisillamme2ndolemaisillasiolemaisillanne3rdolemaisillaanolemaisillansa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	olemaisillani	olemaisillamme	2nd	olemaisillasi	olemaisillanne	3rd	olemaisillaanolemaisillansa	olemaisillaanolemaisillansa	
be-inherently	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
be-inherently	person	sing.	plur.																			
be-inherently	1st	olemaisillani	olemaisillamme																			
be-inherently	2nd	olemaisillasi	olemaisillanne																			
be-inherently	3rd	olemaisillaanolemaisillansa	olemaisillaanolemaisillansa																			
be-momentarily	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)	inflection of olla (kotus type 67/tulla and 64/juoda, no gradation)															
be-momentarily	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
be-momentarily	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
be-momentarily	person	person	positive	negative	person	positive	negative															
be-momentarily	1st sing.	1st sing.	olen	en ole	1st sing.	olen ollut	en ole ollut															
be-momentarily	2nd sing.	2nd sing.	olet	et ole	2nd sing.	olet ollut	et ole ollut															
be-momentarily	3rd sing.	3rd sing.	on	ei ole	3rd sing.	on ollut	ei ole ollut															
be-momentarily	1st plur.	1st plur.	olemme	emme ole	1st plur.	olemme olleet	emme ole olleet															
be-momentarily	2nd plur.	2nd plur.	olette	ette ole	2nd plur.	olette olleet	ette ole olleet															
be-momentarily	3rd plur.	3rd plur.	ovat	eivät ole	3rd plur.	ovat olleet	eivät ole olleet															
be-momentarily	passive	passive	ollaan	ei olla	passive	on oltu	ei ole oltu															
be-momentarily	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
be-momentarily	person	person	positive	negative	person	positive	negative															
be-momentarily	1st sing.	1st sing.	olin	en ollut	1st sing.	olin ollut	en ollut ollut															
be-momentarily	2nd sing.	2nd sing.	olit	et ollut	2nd sing.	olit ollut	et ollut ollut															
be-momentarily	3rd sing.	3rd sing.	oli	ei ollut	3rd sing.	oli ollut	ei ollut ollut															
be-momentarily	1st plur.	1st plur.	olimme	emme olleet	1st plur.	olimme olleet	emme olleet olleet															
be-momentarily	2nd plur.	2nd plur.	olitte	ette olleet	2nd plur.	olitte olleet	ette olleet olleet															
be-momentarily	3rd plur.	3rd plur.	olivat	eivät olleet	3rd plur.	olivat olleet	eivät olleet olleet															
be-momentarily	passive	passive	oltiin	ei oltu	passive	oli oltu	ei ollut oltu															
be-momentarily	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
be-momentarily	present	present	present	present	perfect	perfect	perfect															
be-momentarily	person	person	positive	negative	person	positive	negative															
be-momentarily	1st sing.	1st sing.	olisin	en olisi	1st sing.	olisin ollut	en olisi ollut															
be-momentarily	2nd sing.	2nd sing.	olisit	et olisi	2nd sing.	olisit ollut	et olisi ollut															
be-momentarily	3rd sing.	3rd sing.	olisi	ei olisi	3rd sing.	olisi ollut	ei olisi ollut															
be-momentarily	1st plur.	1st plur.	olisimme	emme olisi	1st plur.	olisimme olleet	emme olisi olleet															
be-momentarily	2nd plur.	2nd plur.	olisitte	ette olisi	2nd plur.	olisitte olleet	ette olisi olleet															
be-momentarily	3rd plur.	3rd plur.	olisivat	eivät olisi	3rd plur.	olisivat olleet	eivät olisi olleet															
be-momentarily	passive	passive	oltaisiin	ei oltaisi	passive	olisi oltu	ei olisi oltu															
be-momentarily	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
be-momentarily	present	present	present	present	perfect	perfect	perfect															
be-momentarily	person	person	positive	negative	person	positive	negative															
be-momentarily	1st sing.	1st sing.	—	—	1st sing.	—	—															
be-momentarily	2nd sing.	2nd sing.	ole	älä ole	2nd sing.	ole ollut	älä ole ollut															
be-momentarily	3rd sing.	3rd sing.	olkoon	älköön olko	3rd sing.	olkoon ollut	älköön olko ollut															
be-momentarily	1st plur.	1st plur.	olkaamme	älkäämme olko	1st plur.	olkaamme olleet	älkäämme olko olleet															
be-momentarily	2nd plur.	2nd plur.	olkaa	älkää olko	2nd plur.	olkaa olleet	älkää olko olleet															
be-momentarily	3rd plur.	3rd plur.	olkoot	älkööt olko	3rd plur.	olkoot olleet	älkööt olko olleet															
be-momentarily	passive	passive	oltakoon	älköön oltako	passive	olkoon oltu	älköön olko oltu															
be-momentarily	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
be-momentarily	present	present	present	present	perfect	perfect	perfect															
be-momentarily	person	person	positive	negative	person	positive	negative															
be-momentarily	1st sing.	1st sing.	lienen	en liene	1st sing.	lienen ollut	en liene ollut															
be-momentarily	2nd sing.	2nd sing.	lienet	et liene	2nd sing.	lienet ollut	et liene ollut															
be-momentarily	3rd sing.	3rd sing.	lienee	ei liene	3rd sing.	lienee ollut	ei liene ollut															
be-momentarily	1st plur.	1st plur.	lienemme	emme liene	1st plur.	lienemme olleet	emme liene olleet															
be-momentarily	2nd plur.	2nd plur.	lienette	ette liene	2nd plur.	lienette olleet	ette liene olleet															
be-momentarily	3rd plur.	3rd plur.	lienevät	eivät liene	3rd plur.	lienevät olleet	eivät liene olleet															
be-momentarily	passive	passive	oltaneen	ei oltane	passive	lienee oltu	ei liene oltu															
be-momentarily	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
be-momentarily	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
be-momentarily			active	passive		active	passive															
be-momentarily	1st	1st	olla	olla	present	oleva	oltava															
be-momentarily	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stollakseniollaksemme2ndollaksesiollaksenne3rdollakseenollaksensa	Possessive formsPersonsing.plur.1stollakseniollaksemme2ndollaksesiollaksenne3rdollakseenollaksensa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	ollakseni	ollaksemme	2nd	ollaksesi	ollaksenne	3rd	ollakseenollaksensa	ollakseenollaksensa	past	ollut	oltu
be-momentarily	possessive forms	possessive forms	possessive forms																			
be-momentarily	person	sing.	plur.																			
be-momentarily	1st	ollakseni	ollaksemme																			
be-momentarily	2nd	ollaksesi	ollaksenne																			
be-momentarily	3rd	ollakseenollaksensa	ollakseenollaksensa																			
be-momentarily	2nd	inessive2	ollessa	oltaessa	agent3	olema	olema															
be-momentarily	2nd	inessive2	Possessive formsPersonsing.plur.1stollessaniollessamme2ndollessasiollessanne3rdollessaanollessansa	Possessive formsPersonsing.plur.1stollessaniollessamme2ndollessasiollessanne3rdollessaanollessansa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	ollessani	ollessamme	2nd	ollessasi	ollessanne	3rd	ollessaanollessansa	ollessaanollessansa	negative	olematon	olematon
be-momentarily	2nd	possessive forms	possessive forms	possessive forms																		
be-momentarily	person	sing.	plur.																			
be-momentarily	1st	ollessani	ollessamme																			
be-momentarily	2nd	ollessasi	ollessanne																			
be-momentarily	3rd	ollessaanollessansa	ollessaanollessansa																			
be-momentarily	instructive	ollen	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
